// index column row  mean  error sigma   chi2/ndf width  status
   0   39   39 123.433    0.141   40.000   3343.655    93.200   FAILED
   1   39   38 123.380    0.077   40.000   12807.889    93.200   FAILED
   2   39   37 123.413    0.128   40.000   4214.938    93.200   FAILED
   3   39   36 123.341    0.139   40.000   3566.855    93.200   FAILED
   4   39   35 123.241    0.156   40.000   2613.798    93.200   FAILED
   5   39   34 123.303    0.129   40.000   4176.585    93.200   FAILED
   6   39   33 123.459    0.111   40.000   5900.054    93.200   FAILED
   7   39   32 123.469    0.129   40.000   4177.308    93.200   FAILED
   8   39   31 123.491    0.248   40.000   933.004    93.200   FAILED
   9   39   30 123.476    0.089   40.000   9525.584    93.200   FAILED
  10   39   29 123.480    0.137   40.000   3645.720    93.200   FAILED
  11   39   28 123.361    0.110   40.000   5992.692    93.200   FAILED
  12   39   27 123.522    0.192   40.000   1697.859    93.200   FAILED
  13   39   26 123.190    0.180   40.000   1970.618    93.200   FAILED
  14   39   25 123.397    0.117   40.000   5294.046    93.200   FAILED
  15   39   24 123.412    0.103   40.000   6918.565    93.200   FAILED
  16   39   23 123.320    0.316   40.000   612.802    93.200   FAILED
  17   39   22   3.084   167.244   30.000   -0.000    69.900   FAILED
  18   39   21 123.436    0.341   40.000   488.182    93.200   FAILED
  19   39   20 123.455    0.128   40.000   4298.284    93.200   FAILED
  20   39   19 123.356    0.835   40.000   59.665    93.200   FAILED
  21   39   18 123.704    0.362   40.000   429.186    93.200   FAILED
  22   39   17   3.084   167.244   30.000   -0.000    69.900   FAILED
  23   39   16 122.922    0.511   40.000   195.782    93.200   FAILED
  24   39   15 123.379    0.164   40.000   2370.335    93.200   FAILED
  25   39   14 123.191    0.362   40.000   439.887    93.200   FAILED
  26   39   13 123.683    0.260   40.000   906.403    93.200   FAILED
  27   39   12 123.402    0.309   40.000   602.276    93.200   FAILED
  28   39   11 123.401    0.245   40.000   996.853    93.200   FAILED
  29   39   10 123.605    0.436   40.000   250.634    93.200   FAILED
  30   39    9 123.527    0.302   40.000   612.370    93.200   FAILED
  31   39    8 123.464    0.223   40.000   1255.889    93.200   FAILED
  32   39    7 123.516    0.187   40.000   1908.357    93.200   FAILED
  33   39    6 123.406    0.647   40.000   108.897    93.200   FAILED
  34   39    5 123.380    0.436   40.000   260.443    93.200   FAILED
  35   39    4 123.433    0.252   40.000   946.646    93.200   FAILED
  36   39    3   3.084   167.244   30.000   -0.000    69.900   FAILED
  37   39    2 123.849    0.309   40.000   453.446    93.200   FAILED
  38   39    1 123.818    0.459   40.000   184.406    93.200   FAILED
  39   39    0   3.084   167.244   30.000   -0.000    69.900   FAILED
  40   38   39   3.084   167.244   30.000   -0.000    69.900   FAILED
  41   38   38   3.084   167.244   30.000   -0.000    69.900   FAILED
