column  row  current_HV_Setting  new_HV_Setting  Voltage_change
00      00     1040.000         1037.365         -  2.635
00      01     1040.000         1010.135         - 29.865
00      02     1040.000          980.258         - 59.742
00      03     1040.000         1015.643         - 24.357
00      04     1040.000          956.210         - 83.790
00      05     1040.000         1029.034         - 10.966
00      06     1040.000         1041.390         +  1.390
00      07     1040.000         1039.303         -  0.697
00      08     1040.000          983.218         - 56.782
00      09     1040.000         1032.727         -  7.273
00      10     1040.000         1027.537         - 12.463
00      11     1040.000         1022.086         - 17.914
00      12     1040.000         1024.886         - 15.114
00      13     1040.000         1031.861         -  8.139
00      14     1040.000         1016.341         - 23.659
00      15     1040.000         1032.042         -  7.958
00      16     1040.000         1022.295         - 17.705
00      17     1040.000         1013.536         - 26.464
00      18     1040.000         1018.974         - 21.026
00      19     1040.000         1017.243         - 22.757
00      20     1040.000         1029.078         - 10.922
00      21     1040.000         1024.729         - 15.271
00      22     1040.000         1025.686         - 14.314
00      23     1040.000         1020.883         - 19.117
00      24     1040.000         1032.255         -  7.745
00      25     1040.000         1041.702         +  1.702
00      26     1040.000         1033.646         -  6.354
00      27     1040.000         1017.044         - 22.956
00      28     1040.000          984.937         - 55.063
00      29     1040.000          997.500         - 42.500
00      30     1040.000         1031.452         -  8.548
00      31     1040.000         1031.906         -  8.094
00      32     1040.000         1029.448         - 10.552
00      33     1040.000         1013.962         - 26.038
00      34     1040.000         1019.857         - 20.143
00      35     1040.000         1025.114         - 14.886
00      36     1040.000         1032.255         -  7.745
00      37     1040.000         1033.094         -  6.906
00      38     1040.000         1027.072         - 12.928
00      39     1040.000         1003.651         - 36.349
01      00     1040.000         1023.021         - 16.979
01      01     1040.000          983.798         - 56.202
01      02     1040.000         1033.354         -  6.646
01      03     1040.000         1017.737         - 22.263
01      04     1040.000         1015.604         - 24.396
01      05     1040.000         1025.701         - 14.299
01      06     1040.000         1015.224         - 24.776
01      07     1040.000         1012.077         - 27.923
01      08     1040.000         1027.858         - 12.142
01      09     1040.000         1014.702         - 25.298
01      10     1040.000         1022.783         - 17.217
01      11     1040.000         1031.136         -  8.864
01      12     1040.000         1005.710         - 34.290
01      13     1040.000         1020.677         - 19.323
01      14     1040.000         1031.091         -  8.909
01      15     1040.000         1003.568         - 36.432
01      16     1040.000         1026.146         - 13.854
01      17     1040.000         1022.295         - 17.705
01      18     1040.000         1013.562         - 26.438
01      19     1040.000         1030.731         -  9.269
01      20     1040.000         1027.479         - 12.521
01      21     1040.000         1033.723         -  6.277
01      22     1040.000         1015.250         - 24.750
01      23     1040.000         1033.707         -  6.293
01      24     1040.000         1050.000         + 10.000
01      25     1040.000         1004.112         - 35.888
01      26     1040.000         1031.392         -  8.608
01      27     1040.000         1031.573         -  8.427
01      28     1040.000         1027.217         - 12.783
01      29     1040.000         1030.716         -  9.284
01      30     1040.000         1015.854         - 24.146
01      31     1040.000         1025.257         - 14.743
01      32     1040.000         1034.976         -  5.024
01      33     1040.000         1032.773         -  7.227
01      34     1040.000         1034.665         -  5.335
01      35     1040.000          993.531         - 46.469
01      36     1040.000         1021.476         - 18.524
01      37     1040.000         1033.723         -  6.277
01      38     1040.000         1029.954         - 10.046
01      39     1040.000         1028.621         - 11.379
02      00     1040.000         1018.018         - 21.982
02      01     1040.000         1025.043         - 14.957
02      02     1040.000         1019.707         - 20.293
02      03     1040.000          991.790         - 48.210
02      04     1040.000         1036.070         -  3.930
02      05     1040.000         1039.029         -  0.971
02      06     1040.000         1030.386         -  9.614
02      07     1040.000         1025.071         - 14.929
02      08     1040.000         1025.572         - 14.428
02      09     1040.000         1014.767         - 25.233
02      10     1040.000         1029.597         - 10.403
02      11     1040.000         1002.863         - 37.137
02      12     1040.000         1007.247         - 32.753
02      13     1040.000         1011.051         - 28.949
02      14     1040.000         1023.541         - 16.459
02      15     1040.000         1034.774         -  5.226
02      16     1040.000         1031.528         -  8.472
02      17     1040.000         1000.430         - 39.570
02      18     1040.000         1027.494         - 12.506
02      19     1040.000          976.020         - 63.980
02      20     1040.000         1001.953         - 38.047
02      21     1040.000         1035.116         -  4.884
02      22     1040.000          996.644         - 43.356
02      23     1040.000         1027.625         - 12.375
02      24     1040.000         1022.003         - 17.997
02      25     1040.000         1030.971         -  9.029
02      26     1040.000         1025.357         - 14.643
02      27     1040.000         1019.231         - 20.769
02      28     1040.000         1017.430         - 22.570
02      29     1040.000         1018.758         - 21.242
02      30     1040.000         1028.548         - 11.452
02      31     1040.000         1026.840         - 13.160
02      32     1040.000         1028.607         - 11.393
02      33     1040.000         1019.055         - 20.945
02      34     1040.000         1048.110         +  8.110
02      35     1040.000         1030.327         -  9.673
02      36     1040.000         1006.422         - 33.578
02      37     1040.000         1016.831         - 23.169
02      38     1040.000         1050.000         + 10.000
02      39     1040.000          990.117         - 49.883
03      00     1040.000         1020.609         - 19.391
03      01     1040.000         1029.656         - 10.344
03      02     1040.000         1024.587         - 15.413
03      03     1040.000         1028.371         - 11.629
03      04     1040.000         1021.850         - 18.150
03      05     1040.000         1022.448         - 17.552
03      06     1040.000         1021.989         - 18.011
03      07     1040.000         1020.554         - 19.446
03      08     1040.000         1034.448         -  5.552
03      09     1040.000         1023.231         - 16.769
03      10     1040.000         1026.391         - 13.609
03      11     1040.000         1026.189         - 13.811
03      12     1040.000         1023.681         - 16.319
03      13     1040.000         1032.118         -  7.882
03      14     1040.000         1041.950         +  1.950
03      15     1040.000         1021.448         - 18.552
03      16     1040.000         1020.842         - 19.158
03      17     1040.000         1011.152         - 28.848
03      18     1040.000         1013.086         - 26.914
03      19     1040.000         1034.139         -  5.861
03      20     1040.000         1012.472         - 27.528
03      21     1040.000         1020.048         - 19.952
03      22     1040.000         1008.966         - 31.034
03      23     1040.000         1021.850         - 18.150
03      24     1040.000         1050.000         + 10.000
03      25     1040.000         1017.137         - 22.863
03      26     1040.000         1028.460         - 11.540
03      27     1040.000         1029.686         - 10.314
03      28     1040.000         1033.738         -  6.262
03      29     1040.000         1011.405         - 28.595
03      30     1040.000         1031.362         -  8.638
03      31     1040.000         1030.222         -  9.778
03      32     1040.000         1029.656         - 10.344
03      33     1040.000         1029.686         - 10.314
03      34     1040.000         1030.896         -  9.104
03      35     1040.000         1004.980         - 35.020
03      36     1040.000         1029.612         - 10.388
03      37     1040.000         1018.704         - 21.296
03      38     1040.000         1026.449         - 13.551
03      39     1040.000         1038.082         -  1.918
04      00     1040.000          971.817         - 68.183
04      01     1040.000          966.891         - 73.109
04      02     1040.000         1027.246         - 12.754
04      03     1040.000          984.778         - 55.222
04      04     1040.000         1025.887         - 14.113
04      05     1040.000         1026.521         - 13.479
04      06     1040.000         1026.811         - 13.189
04      07     1040.000         1032.133         -  7.867
04      08     1040.000         1027.610         - 12.390
04      09     1040.000         1011.001         - 28.999
04      10     1040.000         1030.536         -  9.464
04      11     1040.000         1009.586         - 30.414
04      12     1040.000         1021.338         - 18.662
04      13     1040.000         1031.906         -  8.094
04      14     1040.000         1010.486         - 29.514
04      15     1040.000         1021.241         - 18.759
04      16     1040.000         1050.000         + 10.000
04      17     1040.000         1050.000         + 10.000
04      18     1040.000         1020.184         - 19.816
04      19     1040.000         1022.867         - 17.133
04      20     1040.000         1022.169         - 17.831
04      21     1040.000         1050.000         + 10.000
04      22     1040.000         1017.070         - 22.930
04      23     1040.000         1017.817         - 22.183
04      24     1040.000         1033.523         -  6.477
04      25     1040.000          989.721         - 50.279
04      26     1040.000         1050.000         + 10.000
04      27     1040.000         1008.177         - 31.823
04      28     1040.000         1027.435         - 12.565
04      29     1040.000         1038.066         -  1.934
04      30     1040.000         1044.693         +  4.693
04      31     1040.000         1032.941         -  7.059
04      32     1040.000         1035.428         -  4.572
04      33     1040.000         1045.781         +  5.781
04      34     1040.000         1034.232         -  5.768
04      35     1040.000         1034.836         -  5.164
04      36     1040.000         1022.783         - 17.217
04      37     1040.000         1035.101         -  4.899
04      38     1040.000         1041.917         +  1.917
04      39     1040.000         1000.372         - 39.628
05      00     1040.000         1021.131         - 18.869
05      01     1040.000         1020.787         - 19.213
05      02     1040.000         1009.276         - 30.724
05      03     1040.000         1022.727         - 17.273
05      04     1040.000         1029.969         - 10.031
05      05     1040.000          972.162         - 67.838
05      06     1040.000          994.494         - 45.506
05      07     1040.000         1038.338         -  1.662
05      08     1040.000          960.135         - 79.865
05      09     1040.000         1010.110         - 29.890
05      10     1040.000         1050.000         + 10.000
05      11     1040.000         1032.255         -  7.745
05      12     1040.000         1020.554         - 19.446
05      13     1040.000         1029.879         - 10.121
05      14     1040.000          970.196         - 69.804
05      15     1040.000          997.143         - 42.857
05      16     1040.000         1002.034         - 37.966
05      17     1040.000         1050.000         + 10.000
05      18     1040.000         1004.301         - 35.699
05      19     1040.000         1030.941         -  9.059
05      20     1040.000         1020.567         - 19.433
05      21     1040.000         1003.592         - 36.408
05      22     1040.000         1020.198         - 19.802
05      23     1040.000         1028.049         - 11.951
05      24     1040.000         1020.499         - 19.501
05      25     1040.000         1026.825         - 13.175
05      26     1040.000         1031.845         -  8.155
05      27     1040.000         1035.772         -  4.228
05      28     1040.000         1032.392         -  7.608
05      29     1040.000         1030.416         -  9.584
05      30     1040.000         1046.380         +  6.380
05      31     1040.000         1018.893         - 21.107
05      32     1040.000         1025.185         - 14.815
05      33     1040.000         1046.380         +  6.380
05      34     1040.000         1026.825         - 13.175
05      35     1040.000         1028.415         - 11.585
05      36     1040.000         1027.333         - 12.667
05      37     1040.000         1050.000         + 10.000
05      38     1040.000         1050.000         + 10.000
05      39     1040.000         1050.000         + 10.000
06      00     1040.000          998.803         - 41.197
06      01     1040.000         1026.031         - 13.969
06      02     1040.000         1033.985         -  6.015
06      03     1040.000         1010.461         - 29.539
06      04     1040.000         1026.724         - 13.276
06      05     1040.000         1014.416         - 25.584
06      06     1040.000         1012.536         - 27.464
06      07     1040.000         1023.865         - 16.135
06      08     1040.000          955.488         - 84.512
06      09     1040.000          995.344         - 44.656
06      10     1040.000         1009.586         - 30.414
06      11     1040.000         1026.622         - 13.378
06      12     1040.000         1015.749         - 24.251
06      13     1040.000         1033.431         -  6.569
06      14     1040.000          966.294         - 73.706
06      15     1040.000         1038.338         -  1.662
06      16     1040.000         1002.232         - 37.768
06      17     1040.000         1026.825         - 13.175
06      18     1040.000         1019.557         - 20.443
06      19     1040.000         1028.813         - 11.187
06      20     1040.000         1019.625         - 20.375
06      21     1040.000         1036.259         -  3.741
