# index    column     row     hvBot
0         39         39         910.00  
1         39         38         910.00  
2         39         37         910.00  
3         39         36         910.00  
4         39         35         910.00  
5         39         34         910.00  
6         39         33         910.00  
7         39         32         910.00  
8         39         31         910.00  
9         39         30         910.00  
10        39         29         910.00  
11        39         28         910.00  
12        39         27         910.00  
13        39         26         910.00  
14        39         25         910.00  
15        39         24         910.00  
16        39         23         910.00  
17        39         22         910.00  
18        39         21         910.00  
19        39         20         910.00  
20        39         19         910.00  
21        39         18         910.00  
22        39         17         910.00  
23        39         16         910.00  
24        39         15         910.00  
25        39         14         910.00  
26        39         13         910.00  
27        39         12         910.00  
28        39         11         910.00  
29        39         10         910.00  
30        39         9          910.00  
31        39         8          910.00  
32        39         7          910.00  
33        39         6          910.00  
34        39         5          910.00  
35        39         4          910.00  
36        39         3          910.00  
37        39         2          910.00  
38        39         1          910.00  
39        39         0          910.00  
40        38         39         910.00  
41        38         38         910.00  
42        38         37         910.00  
43        38         36         910.00  
44        38         35         910.00  
45        38         34         910.00  
46        38         33         910.00  
47        38         32         910.00  
48        38         31         910.00  
49        38         30         910.00  
50        38         29         910.00  
51        38         28         910.00  
52        38         27         910.00  
53        38         26         910.00  
54        38         25         910.00  
55        38         24         910.00  
56        38         23         910.00  
57        38         22         910.00  
58        38         21         910.00  
59        38         20         910.00  
60        38         19         910.00  
61        38         18         910.00  
62        38         17         910.00  
63        38         16         910.00  
64        38         15         910.00  
65        38         14         910.00  
66        38         13         910.00  
67        38         12         910.00  
68        38         11         910.00  
69        38         10         910.00  
70        38         9          910.00  
71        38         8          910.00  
72        38         7          910.00  
73        38         6          910.00  
74        38         5          910.00  
75        38         4          910.00  
76        38         3          910.00  
77        38         2          910.00  
78        38         1          910.00  
79        38         0          910.00  
80        37         39         910.00  
81        37         38         910.00  
82        37         37         910.00  
83        37         36         910.00  
84        37         35         910.00  
85        37         34         910.00  
86        37         33         910.00  
87        37         32         910.00  
88        37         31         910.00  
89        37         30         910.00  
90        37         29         910.00  
91        37         28         910.00  
92        37         27         910.00  
93        37         26         910.00  
94        37         25         910.00  
95        37         24         910.00  
96        37         23         910.00  
97        37         22         910.00  
98        37         21         910.00  
99        37         20         910.00  
100       37         19         910.00  
101       37         18         910.00  
102       37         17         910.00  
103       37         16         910.00  
104       37         15         910.00  
105       37         14         910.00  
106       37         13         910.00  
107       37         12         910.00  
108       37         11         910.00  
109       37         10         910.00  
110       37         9          910.00  
111       37         8          910.00  
112       37         7          910.00  
113       37         6          910.00  
114       37         5          910.00  
115       37         4          910.00  
116       37         3          910.00  
117       37         2          910.00  
118       37         1          910.00  
119       37         0          910.00  
120       36         39         910.00  
121       36         38         910.00  
122       36         37         910.00  
123       36         36         910.00  
124       36         35         910.00  
125       36         34         910.00  
126       36         33         910.00  
127       36         32         910.00  
128       36         31         910.00  
129       36         30         910.00  
130       36         29         910.00  
131       36         28         910.00  
132       36         27         910.00  
133       36         26         910.00  
134       36         25         910.00  
135       36         24         910.00  
136       36         23         910.00  
137       36         22         910.00  
138       36         21         910.00  
139       36         20         910.00  
140       36         19         910.00  
141       36         18         910.00  
142       36         17         910.00  
143       36         16         910.00  
144       36         15         910.00  
145       36         14         910.00  
146       36         13         910.00  
147       36         12         910.00  
148       36         11         910.00  
149       36         10         910.00  
150       36         9          910.00  
151       36         8          910.00  
152       36         7          910.00  
153       36         6          910.00  
154       36         5          910.00  
155       36         4          910.00  
156       36         3          910.00  
157       36         2          910.00  
158       36         1          910.00  
159       36         0          910.00  
160       35         39         910.00  
161       35         38         910.00  
162       35         37         910.00  
163       35         36         910.00  
164       35         35         910.00  
165       35         34         910.00  
166       35         33         910.00  
167       35         32         910.00  
168       35         31         910.00  
169       35         30         910.00  
170       35         29         910.00  
171       35         28         910.00  
172       35         27         910.00  
173       35         26         910.00  
174       35         25         910.00  
175       35         24         910.00  
176       35         23         910.00  
177       35         22         910.00  
178       35         21         910.00  
179       35         20         910.00  
180       35         19         910.00  
181       35         18         910.00  
182       35         17         910.00  
183       35         16         910.00  
184       35         15         910.00  
185       35         14         910.00  
186       35         13         910.00  
187       35         12         910.00  
188       35         11         910.00  
189       35         10         910.00  
190       35         9          910.00  
191       35         8          910.00  
192       35         7          910.00  
193       35         6          910.00  
194       35         5          910.00  
195       35         4          910.00  
196       35         3          910.00  
197       35         2          910.00  
198       35         1          910.00  
199       35         0          910.00  
200       34         39         910.00  
201       34         38         910.00  
202       34         37         910.00  
203       34         36         910.00  
204       34         35         910.00  
205       34         34         910.00  
206       34         33         910.00  
207       34         32         910.00  
208       34         31         910.00  
209       34         30         910.00  
210       34         29         910.00  
211       34         28         910.00  
212       34         27         910.00  
213       34         26         910.00  
214       34         25         910.00  
215       34         24         910.00  
216       34         23         910.00  
217       34         22         910.00  
218       34         21         910.00  
219       34         20         910.00  
220       34         19         910.00  
221       34         18         910.00  
222       34         17         910.00  
223       34         16         910.00  
224       34         15         910.00  
225       34         14         910.00  
226       34         13         910.00  
227       34         12         910.00  
228       34         11         910.00  
229       34         10         910.00  
230       34         9          910.00  
231       34         8          910.00  
232       34         7          910.00  
233       34         6          910.00  
234       34         5          910.00  
235       34         4          910.00  
236       34         3          910.00  
237       34         2          910.00  
238       34         1          910.00  
239       34         0          910.00  
240       33         39         910.00  
241       33         38         910.00  
242       33         37         910.00  
243       33         36         910.00  
244       33         35         910.00  
245       33         34         910.00  
246       33         33         910.00  
247       33         32         910.00  
248       33         31         910.00  
249       33         30         910.00  
250       33         29         910.00  
251       33         28         910.00  
252       33         27         910.00  
253       33         26         910.00  
254       33         25         910.00  
255       33         24         910.00  
256       33         23         910.00  
257       33         22         910.00  
258       33         21         910.00  
259       33         20         910.00  
260       33         19         910.00  
261       33         18         910.00  
262       33         17         910.00  
263       33         16         910.00  
264       33         15         910.00  
265       33         14         910.00  
266       33         13         910.00  
267       33         12         910.00  
268       33         11         910.00  
269       33         10         910.00  
270       33         9          910.00  
271       33         8          910.00  
272       33         7          910.00  
273       33         6          910.00  
274       33         5          910.00  
275       33         4          910.00  
276       33         3          910.00  
277       33         2          910.00  
278       33         1          910.00  
279       33         0          910.00  
280       32         39         910.00  
281       32         38         910.00  
282       32         37         910.00  
283       32         36         910.00  
284       32         35         910.00  
285       32         34         910.00  
286       32         33         910.00  
287       32         32         910.00  
288       32         31         910.00  
289       32         30         910.00  
290       32         29         910.00  
291       32         28         910.00  
292       32         27         910.00  
293       32         26         910.00  
294       32         25         910.00  
295       32         24         910.00  
296       32         23         910.00  
297       32         22         910.00  
298       32         21         910.00  
299       32         20         910.00  
300       32         19         910.00  
301       32         18         910.00  
302       32         17         910.00  
303       32         16         910.00  
304       32         15         910.00  
305       32         14         910.00  
306       32         13         910.00  
307       32         12         910.00  
308       32         11         910.00  
309       32         10         910.00  
310       32         9          910.00  
311       32         8          910.00  
312       32         7          910.00  
313       32         6          910.00  
314       32         5          910.00  
315       32         4          910.00  
316       32         3          910.00  
317       32         2          910.00  
318       32         1          910.00  
319       32         0          910.00  
320       31         39         910.00  
321       31         38         910.00  
322       31         37         910.00  
323       31         36         910.00  
324       31         35         910.00  
325       31         34         910.00  
326       31         33         910.00  
327       31         32         910.00  
328       31         31         910.00  
329       31         30         910.00  
330       31         29         910.00  
331       31         28         910.00  
332       31         27         910.00  
333       31         26         910.00  
334       31         25         910.00  
335       31         24         910.00  
336       31         23         910.00  
337       31         22         910.00  
338       31         21         910.00  
339       31         20         910.00  
340       31         19         910.00  
341       31         18         910.00  
342       31         17         910.00  
343       31         16         910.00  
344       31         15         910.00  
345       31         14         910.00  
346       31         13         910.00  
347       31         12         910.00  
348       31         11         910.00  
349       31         10         910.00  
350       31         9          910.00  
351       31         8          910.00  
352       31         7          910.00  
353       31         6          910.00  
354       31         5          910.00  
355       31         4          910.00  
356       31         3          910.00  
357       31         2          910.00  
358       31         1          910.00  
359       31         0          910.00  
360       30         39         910.00  
361       30         38         910.00  
362       30         37         910.00  
363       30         36         910.00  
364       30         35         910.00  
365       30         34         910.00  
366       30         33         910.00  
367       30         32         910.00  
368       30         31         910.00  
369       30         30         910.00  
370       30         29         910.00  
371       30         28         910.00  
372       30         27         910.00  
373       30         26         910.00  
374       30         25         910.00  
375       30         24         910.00  
376       30         23         910.00  
377       30         22         910.00  
378       30         21         910.00  
379       30         20         910.00  
380       30         19         910.00  
381       30         18         910.00  
382       30         17         910.00  
383       30         16         910.00  
384       30         15         910.00  
385       30         14         910.00  
386       30         13         910.00  
387       30         12         910.00  
388       30         11         910.00  
389       30         10         910.00  
390       30         9          910.00  
391       30         8          910.00  
392       30         7          910.00  
393       30         6          910.00  
394       30         5          910.00  
395       30         4          910.00  
396       30         3          910.00  
397       30         2          910.00  
398       30         1          910.00  
399       30         0          910.00  
400       29         39         910.00  
401       29         38         910.00  
402       29         37         910.00  
403       29         36         910.00  
404       29         35         910.00  
405       29         34         910.00  
406       29         33         910.00  
407       29         32         910.00  
408       29         31         910.00  
409       29         30         910.00  
410       29         29         910.00  
411       29         28         910.00  
412       29         27         910.00  
413       29         26         910.00  
414       29         25         910.00  
415       29         24         910.00  
416       29         23         910.00  
417       29         22         910.00  
418       29         21         910.00  
419       29         20         910.00  
420       29         19         910.00  
421       29         18         910.00  
422       29         17         910.00  
423       29         16         910.00  
424       29         15         910.00  
425       29         14         910.00  
426       29         13         910.00  
427       29         12         910.00  
428       29         11         910.00  
429       29         10         910.00  
430       29         9          910.00  
431       29         8          910.00  
432       29         7          910.00  
433       29         6          910.00  
434       29         5          910.00  
435       29         4          910.00  
436       29         3          910.00  
437       29         2          910.00  
438       29         1          910.00  
439       29         0          910.00  
440       28         39         910.00  
441       28         38         910.00  
442       28         37         910.00  
443       28         36         910.00  
444       28         35         910.00  
445       28         34         910.00  
446       28         33         910.00  
447       28         32         910.00  
448       28         31         910.00  
449       28         30         910.00  
450       28         29         910.00  
451       28         28         910.00  
452       28         27         910.00  
453       28         26         910.00  
454       28         25         910.00  
455       28         24         910.00  
456       28         23         910.00  
457       28         22         910.00  
458       28         21         910.00  
459       28         20         910.00  
460       28         19         910.00  
461       28         18         910.00  
462       28         17         910.00  
463       28         16         910.00  
464       28         15         910.00  
465       28         14         910.00  
466       28         13         910.00  
467       28         12         910.00  
468       28         11         910.00  
469       28         10         910.00  
470       28         9          910.00  
471       28         8          910.00  
472       28         7          910.00  
473       28         6          910.00  
474       28         5          910.00  
475       28         4          910.00  
476       28         3          910.00  
477       28         2          910.00  
478       28         1          910.00  
479       28         0          910.00  
480       27         39         910.00  
481       27         38         910.00  
482       27         37         910.00  
483       27         36         910.00  
484       27         35         910.00  
485       27         34         910.00  
486       27         33         910.00  
487       27         32         910.00  
488       27         31         910.00  
489       27         30         910.00  
490       27         29         910.00  
491       27         28         910.00  
492       27         27         910.00  
493       27         26         910.00  
494       27         25         910.00  
495       27         24         910.00  
496       27         23         910.00  
497       27         22         910.00  
498       27         21         910.00  
499       27         20         910.00  
500       27         19         910.00  
501       27         18         910.00  
502       27         17         910.00  
503       27         16         910.00  
504       27         15         910.00  
505       27         14         910.00  
506       27         13         910.00  
507       27         12         910.00  
508       27         11         910.00  
509       27         10         910.00  
510       27         9          910.00  
511       27         8          910.00  
512       27         7          910.00  
513       27         6          910.00  
514       27         5          910.00  
515       27         4          910.00  
516       27         3          910.00  
517       27         2          910.00  
518       27         1          910.00  
519       27         0          910.00  
520       26         39         910.00  
521       26         38         910.00  
522       26         37         910.00  
523       26         36         910.00  
524       26         35         910.00  
525       26         34         910.00  
526       26         33         910.00  
527       26         32         910.00  
528       26         31         910.00  
529       26         30         910.00  
530       26         29         910.00  
531       26         28         910.00  
532       26         27         910.00  
533       26         26         910.00  
534       26         25         910.00  
535       26         24         910.00  
536       26         23         910.00  
537       26         22         910.00  
538       26         21         910.00  
539       26         20         910.00  
540       26         19         910.00  
541       26         18         910.00  
542       26         17         910.00  
543       26         16         910.00  
544       26         15         910.00  
545       26         14         910.00  
546       26         13         910.00  
547       26         12         910.00  
548       26         11         910.00  
549       26         10         910.00  
550       26         9          910.00  
551       26         8          910.00  
552       26         7          910.00  
553       26         6          910.00  
554       26         5          910.00  
555       26         4          910.00  
556       26         3          910.00  
557       26         2          910.00  
558       26         1          910.00  
559       26         0          910.00  
560       25         39         910.00  
561       25         38         910.00  
562       25         37         910.00  
563       25         36         910.00  
564       25         35         910.00  
565       25         34         910.00  
566       25         33         910.00  
567       25         32         910.00  
568       25         31         910.00  
569       25         30         910.00  
570       25         29         910.00  
571       25         28         910.00  
572       25         27         910.00  
573       25         26         910.00  
574       25         25         910.00  
575       25         24         910.00  
576       25         23         910.00  
577       25         22         910.00  
578       25         21         910.00  
579       25         20         910.00  
580       25         19         910.00  
581       25         18         910.00  
582       25         17         910.00  
583       25         16         910.00  
584       25         15         910.00  
585       25         14         910.00  
586       25         13         910.00  
587       25         12         910.00  
588       25         11         910.00  
589       25         10         910.00  
590       25         9          910.00  
591       25         8          910.00  
592       25         7          910.00  
593       25         6          910.00  
594       25         5          910.00  
595       25         4          910.00  
596       25         3          910.00  
597       25         2          910.00  
598       25         1          910.00  
599       25         0          910.00  
600       24         39         910.00  
601       24         38         910.00  
602       24         37         910.00  
603       24         36         910.00  
604       24         35         910.00  
605       24         34         910.00  
606       24         33         910.00  
607       24         32         910.00  
608       24         31         910.00  
609       24         30         910.00  
610       24         29         910.00  
611       24         28         910.00  
612       24         27         910.00  
613       24         26         910.00  
614       24         25         910.00  
615       24         24         910.00  
616       24         23         910.00  
617       24         22         910.00  
618       24         21         910.00  
619       24         20         910.00  
620       24         19         910.00  
621       24         18         910.00  
622       24         17         910.00  
623       24         16         910.00  
624       24         15         910.00  
625       24         14         910.00  
626       24         13         910.00  
627       24         12         910.00  
628       24         11         910.00  
629       24         10         910.00  
630       24         9          910.00  
631       24         8          910.00  
632       24         7          910.00  
633       24         6          910.00  
634       24         5          910.00  
635       24         4          910.00  
636       24         3          910.00  
637       24         2          910.00  
638       24         1          910.00  
639       24         0          910.00  
640       23         39         910.00  
641       23         38         910.00  
642       23         37         910.00  
643       23         36         910.00  
644       23         35         910.00  
645       23         34         910.00  
646       23         33         910.00  
647       23         32         910.00  
648       23         31         910.00  
649       23         30         910.00  
650       23         29         910.00  
651       23         28         910.00  
652       23         27         910.00  
653       23         26         910.00  
654       23         25         910.00  
655       23         24         910.00  
656       23         23         910.00  
657       23         22         910.00  
658       23         21         910.00  
659       23         20         910.00  
660       23         19         910.00  
661       23         18         910.00  
662       23         17         910.00  
663       23         16         910.00  
664       23         15         910.00  
665       23         14         910.00  
666       23         13         910.00  
667       23         12         910.00  
668       23         11         910.00  
669       23         10         910.00  
670       23         9          910.00  
671       23         8          910.00  
672       23         7          910.00  
673       23         6          910.00  
674       23         5          910.00  
675       23         4          910.00  
676       23         3          910.00  
677       23         2          910.00  
678       23         1          910.00  
679       23         0          910.00  
680       22         39         910.00  
681       22         38         910.00  
682       22         37         910.00  
683       22         36         910.00  
684       22         35         910.00  
685       22         34         910.00  
686       22         33         910.00  
687       22         32         910.00  
688       22         31         910.00  
