column  row  current_HV_Setting  new_HV_Setting  Voltage_change
00      00      997.467         1050.000         + 52.533
00      01      971.284         1011.455         + 40.171
00      02      942.556          996.243         + 53.687
00      03      976.580         1013.099         + 36.519
00      04      919.433          944.777         + 25.344
00      05      989.456         1026.715         + 37.259
00      06     1001.336         1043.745         + 42.409
00      07      999.330         1049.130         + 49.800
00      08      945.402          980.640         + 35.238
00      09      993.007         1027.157         + 34.150
00      10      988.017         1021.861         + 33.844
00      11      982.775         1013.582         + 30.807
00      12      985.467         1017.256         + 31.789
00      13      992.174         1031.912         + 39.738
00      14      977.251         1004.815         + 27.564
00      15      992.348         1038.168         + 45.820
00      16      982.976         1017.734         + 34.758
00      17      974.554         1009.048         + 34.494
00      18      979.783         1015.421         + 35.638
00      19      978.119         1012.455         + 34.336
00      20      989.499         1027.956         + 38.457
00      21      985.317         1021.479         + 36.162
00      22      986.237         1015.232         + 28.995
00      23      981.619         1017.239         + 35.620
00      24      992.553         1026.687         + 34.134
00      25     1001.637         1050.000         + 48.363
00      26      993.890         1040.624         + 46.734
00      27      977.927         1003.780         + 25.853
00      28      947.055          967.907         + 20.852
00      29      959.135          990.522         + 31.387
00      30      991.781         1013.377         + 21.596
00      31      992.217         1050.000         + 57.783
00      32      989.854         1026.080         + 36.226
00      33      974.964          986.485         + 11.521
00      34      980.631         1012.575         + 31.944
00      35      985.686         1016.812         + 31.126
00      36      992.553         1048.030         + 55.477
00      37      993.359         1030.973         + 37.614
00      38      987.569         1020.964         + 33.395
00      39      965.049          991.882         + 26.833
01      00      983.674          993.845         + 10.171
01      01      945.959          971.913         + 25.954
01      02      993.610         1050.000         + 56.390
01      03      978.593          995.877         + 17.284
01      04      976.542         1012.331         + 35.789
01      05      986.251         1013.516         + 27.265
01      06      976.177         1028.687         + 52.510
01      07      973.151         1006.091         + 32.940
01      08      988.325         1024.563         + 36.238
01      09      975.675          998.441         + 22.766
01      10      983.445         1010.538         + 27.093
01      11      991.477         1026.130         + 34.653
01      12      967.029         1010.148         + 43.119
01      13      981.420         1025.709         + 44.289
01      14      991.434         1037.996         + 46.562
01      15      964.969          981.985         + 17.016
01      16      986.679         1021.097         + 34.418
01      17      982.976         1023.577         + 40.601
01      18      974.579          999.683         + 25.104
01      19      991.087         1042.626         + 51.539
01      20      987.961         1027.197         + 39.236
01      21      993.964         1050.000         + 56.036
01      22      976.202         1011.541         + 35.339
01      23      993.949         1035.469         + 41.520
01      24     1016.741         1050.000         + 33.259
01      25      965.492          996.878         + 31.386
01      26      991.723         1028.309         + 36.586
01      27      991.897         1032.421         + 40.524
01      28      987.709         1027.480         + 39.771
01      29      991.073         1027.087         + 36.014
01      30      976.782         1005.309         + 28.527
01      31      985.824         1024.225         + 38.401
01      32      995.169         1037.879         + 42.710
01      33      993.051         1004.800         + 11.749
01      34      994.870         1033.957         + 39.087
01      35      955.318          987.687         + 32.369
01      36      982.189         1007.135         + 24.946
01      37      993.964         1050.000         + 56.036
01      38      990.340         1029.284         + 38.944
01      39      989.059         1046.808         + 57.749
02      00      978.864         1013.745         + 34.881
02      01      985.618         1011.239         + 25.621
02      02      980.487         1011.725         + 31.238
02      03      953.644          981.202         + 27.558
02      04      996.221         1047.127         + 50.906
02      05      999.066         1045.309         + 46.243
02      06      990.756         1020.820         + 30.064
02      07      985.645         1026.268         + 40.623
02      08      986.127         1020.023         + 33.896
02      09      975.738         1008.093         + 32.355
02      10      989.997         1050.000         + 60.003
02      11      964.291          997.453         + 33.162
02      12      968.507          997.138         + 28.631
02      13      972.165          988.867         + 16.702
02      14      984.174         1018.120         + 33.946
02      15      994.975         1050.000         + 55.025
02      16      991.854         1019.084         + 27.230
02      17      961.952          992.376         + 30.424
02      18      987.975         1024.371         + 36.396
02      19      938.480          962.242         + 23.762
02      20      963.416          987.538         + 24.122
02      21      995.304         1034.320         + 39.016
02      22      958.311          988.161         + 29.850
02      23      988.101         1013.104         + 25.003
02      24      982.695         1019.751         + 37.056
02      25      991.318         1028.889         + 37.571
02      26      985.920         1018.663         + 32.743
02      27      980.030         1006.669         + 26.639
02      28      978.298         1011.611         + 33.313
02      29      979.575         1015.459         + 35.884
02      30      988.988         1016.629         + 27.641
02      31      987.346         1020.617         + 33.271
02      32      989.045         1025.549         + 36.504
02      33      979.861         1011.095         + 31.234
02      34     1007.798         1037.771         + 29.973
02      35      990.699         1029.046         + 38.347
02      36      967.713         1000.633         + 32.920
02      37      977.722         1003.879         + 26.157
02      38     1030.332         1050.000         + 19.668
02      39      952.035          980.086         + 28.051
03      00      981.354         1007.951         + 26.597
03      01      990.054         1017.788         + 27.734
03      02      985.180         1037.938         + 52.758
03      03      988.819         1025.178         + 36.359
03      04      982.548         1025.761         + 43.213
03      05      983.123         1033.302         + 50.179
03      06      982.681         1030.233         + 47.552
03      07      981.302         1012.079         + 30.777
03      08      994.662         1023.357         + 28.695
03      09      983.876         1004.779         + 20.903
03      10      986.915         1022.999         + 36.084
03      11      986.721         1019.639         + 32.918
03      12      984.309         1020.230         + 35.921
03      13      992.421         1041.704         + 49.283
03      14     1001.875         1024.117         + 22.242
03      15      982.162         1034.699         + 52.537
03      16      981.579         1015.352         + 33.773
03      17      972.262         1007.459         + 35.197
03      18      974.121          998.390         + 24.269
03      19      994.364         1032.713         + 38.349
03      20      973.531         1017.337         + 43.806
03      21      980.815         1019.281         + 38.466
03      22      970.160         1050.000         + 79.840
03      23      982.548         1004.947         + 22.399
03      24     1019.273         1050.000         + 30.727
03      25      978.016          999.967         + 21.951
03      26      988.903         1026.089         + 37.186
03      27      990.083         1023.998         + 33.915
03      28      993.979         1025.746         + 31.767
03      29      972.505          987.791         + 15.286
03      30      991.694         1026.422         + 34.728
03      31      990.598         1028.055         + 37.457
03      32      990.054         1024.826         + 34.772
03      33      990.083         1023.446         + 33.363
03      34      991.246         1050.000         + 58.754
03      35      966.327          990.402         + 24.075
03      36      990.011         1028.872         + 38.861
03      37      979.523          999.302         + 19.779
03      38      986.970         1019.516         + 32.546
03      39      998.156         1041.926         + 43.770
04      00      934.439          962.641         + 28.202
04      01      929.703          968.037         + 38.334
04      02      987.737         1026.439         + 38.702
04      03      946.902          981.197         + 34.295
04      04      986.430         1019.156         + 32.726
04      05      987.040         1026.748         + 39.708
04      06      987.318         1013.685         + 26.367
04      07      992.436         1029.083         + 36.647
04      08      988.087         1025.760         + 37.673
04      09      972.116          996.456         + 24.340
04      10      990.900         1039.305         + 48.405
04      11      970.756          992.367         + 21.611
04      12      982.056         1031.643         + 49.587
04      13      992.217         1029.892         + 37.675
04      14      971.621         1002.287         + 30.666
04      15      981.963         1003.674         + 21.711
04      16     1014.318         1050.000         + 35.682
04      17     1010.718         1042.217         + 31.499
04      18      980.946         1023.781         + 42.835
04      19      983.526         1006.369         + 22.843
04      20      982.855         1034.355         + 51.500
04      21     1009.964         1020.643         + 10.679
04      22      977.952          999.619         + 21.667
04      23      978.671          998.024         + 19.353
04      24      993.772         1033.327         + 39.555
04      25      951.655          988.490         + 36.835
04      26     1034.306         1050.000         + 15.694
04      27      969.401          987.192         + 17.791
04      28      987.919         1022.903         + 34.984
04      29      998.141         1050.000         + 51.859
04      30     1004.512         1050.000         + 45.488
04      31      993.212         1023.660         + 30.448
04      32      995.604         1050.000         + 54.396
04      33     1005.558         1037.212         + 31.654
04      34      994.454         1028.452         + 33.998
04      35      995.035         1032.192         + 37.157
