column  row  current_HV_Setting  new_HV_Setting  Voltage_change
00      00     1050.000         1050.000         +  0.000
00      01     1011.455          984.633         - 26.822
00      02      996.243          970.955         - 25.288
00      03     1013.099          998.556         - 14.543
00      04      944.777          947.272         +  2.495
00      05     1026.715         1026.235         -  0.480
00      06     1043.745         1040.973         -  2.772
00      07     1049.130         1050.000         +  0.870
00      08      980.640          965.054         - 15.586
00      09     1027.157         1037.006         +  9.849
00      10     1021.861         1017.599         -  4.262
00      11     1013.582          996.666         - 16.916
00      12     1017.256         1004.710         - 12.546
00      13     1031.912         1023.192         -  8.720
00      14     1004.815         1003.148         -  1.667
00      15     1038.168         1030.497         -  7.671
00      16     1017.734         1012.468         -  5.266
00      17     1009.048          992.588         - 16.460
00      18     1015.421          990.150         - 25.271
00      19     1012.455          991.934         - 20.521
00      20     1027.956         1011.049         - 16.907
00      21     1021.479         1000.708         - 20.771
00      22     1015.232         1016.364         +  1.132
00      23     1017.239         1002.080         - 15.159
00      24     1026.687         1022.745         -  3.942
00      25     1050.000         1045.211         -  4.789
00      26     1040.624         1046.323         +  5.699
00      27     1003.780         1002.999         -  0.781
00      28      967.907          955.081         - 12.826
00      29      990.522          981.124         -  9.398
00      30     1013.377         1036.770         + 23.393
00      31     1050.000         1034.453         - 15.547
00      32     1026.080         1008.173         - 17.907
00      33      986.485          974.071         - 12.414
00      34     1012.575          988.363         - 24.212
00      35     1016.812         1016.812         +  0.000
00      36     1048.030         1050.000         +  1.970
00      37     1030.973         1037.468         +  6.495
00      38     1020.964         1017.446         -  3.518
00      39      991.882          983.185         -  8.697
01      00      993.845          998.605         +  4.760
01      01      971.913          957.416         - 14.497
01      02     1050.000         1046.445         -  3.555
01      03      995.877          979.498         - 16.379
01      04     1012.331          994.907         - 17.424
01      05     1013.516         1023.597         + 10.081
01      06     1028.687          993.941         - 34.746
01      07     1006.091          982.250         - 23.841
01      08     1024.563         1017.804         -  6.759
01      09      998.441          981.083         - 17.358
01      10     1010.538          993.456         - 17.082
01      11     1026.130         1031.800         +  5.670
01      12     1010.148         1001.363         -  8.785
01      13     1025.709         1001.222         - 24.487
01      14     1037.996         1019.964         - 18.032
01      15      981.985          958.271         - 23.714
01      16     1021.097         1008.290         - 12.807
01      17     1023.577         1026.558         +  2.981
01      18      999.683          980.059         - 19.624
01      19     1042.626         1035.748         -  6.878
01      20     1027.197         1023.114         -  4.083
01      21     1050.000         1050.000         +  0.000
01      22     1011.541          991.936         - 19.605
01      23     1035.469         1038.801         +  3.332
01      24     1050.000         1050.000         +  0.000
01      25      996.878          972.094         - 24.784
01      26     1028.309         1032.698         +  4.389
01      27     1032.421         1038.041         +  5.620
01      28     1027.480         1022.041         -  5.439
01      29     1027.087         1017.283         -  9.804
01      30     1005.309          978.342         - 26.967
01      31     1024.225         1001.761         - 22.464
01      32     1037.879         1050.000         + 12.121
01      33     1004.800         1030.312         + 25.512
01      34     1033.957         1031.955         -  2.002
01      35      987.687          957.968         - 29.719
01      36     1007.135          988.996         - 18.139
01      37     1050.000         1043.802         -  6.198
01      38     1029.284         1010.215         - 19.069
01      39     1046.808         1027.248         - 19.560
02      00     1013.745          999.249         - 14.496
02      01     1011.239         1024.894         + 13.655
02      02     1011.725         1006.959         -  4.766
02      03      981.202          986.302         +  5.100
02      04     1047.127         1050.000         +  2.873
02      05     1045.309         1050.000         +  4.691
02      06     1020.820         1023.695         +  2.875
02      07     1026.268         1007.227         - 19.041
02      08     1020.023         1007.571         - 12.452
02      09     1008.093          989.963         - 18.130
02      10     1050.000         1050.000         +  0.000
02      11      997.453          968.236         - 29.217
02      12      997.138          973.722         - 23.416
02      13      988.867          968.978         - 19.889
02      14     1018.120          992.960         - 25.160
02      15     1050.000         1050.000         +  0.000
02      16     1019.084         1023.931         +  4.847
02      17      992.376          968.735         - 23.641
02      18     1024.371         1011.038         - 13.333
02      19      962.242          947.326         - 14.916
02      20      987.538          968.488         - 19.050
02      21     1034.320         1039.240         +  4.920
02      22      988.161          981.817         -  6.344
02      23     1013.104         1013.247         +  0.143
02      24     1019.751         1019.671         -  0.080
02      25     1028.889         1040.129         + 11.240
02      26     1018.663         1020.541         +  1.878
02      27     1006.669         1001.415         -  5.254
02      28     1011.611          984.810         - 26.801
02      29     1015.459         1002.312         - 13.147
02      30     1016.629         1012.466         -  4.163
02      31     1020.617         1011.918         -  8.699
02      32     1025.549         1012.958         - 12.591
02      33     1011.095         1005.007         -  6.088
02      34     1037.771         1038.324         +  0.553
02      35     1029.046         1007.415         - 21.631
02      36     1000.633          980.377         - 20.256
02      37     1003.879          992.626         - 11.253
02      38     1050.000         1050.000         +  0.000
02      39      980.086          968.603         - 11.483
03      00     1007.951          981.111         - 26.840
03      01     1017.788         1025.265         +  7.477
03      02     1037.938         1014.987         - 22.951
03      03     1025.178         1025.837         +  0.659
03      04     1025.761          997.246         - 28.515
03      05     1033.302         1007.741         - 25.561
03      06     1030.233         1007.558         - 22.675
03      07     1012.079          997.690         - 14.389
03      08     1023.357         1027.244         +  3.887
03      09     1004.779          993.035         - 11.744
03      10     1022.999         1011.589         - 11.410
03      11     1019.639         1001.722         - 17.917
03      12     1020.230          999.816         - 20.414
03      13     1041.704         1031.165         - 10.539
03      14     1024.117         1009.318         - 14.799
03      15     1034.699         1003.676         - 31.023
03      16     1015.352         1010.919         -  4.433
03      17     1007.459          999.018         -  8.441
03      18      998.390         1000.373         +  1.983
03      19     1032.713         1050.000         + 17.287
03      20     1017.337          984.006         - 33.331
03      21     1019.281          996.197         - 23.084
03      22     1050.000         1050.000         +  0.000
03      23     1004.947          991.685         - 13.262
03      24     1050.000         1050.000         +  0.000
03      25      999.967          996.870         -  3.097
03      26     1026.089         1014.168         - 11.921
03      27     1023.998         1030.754         +  6.756
03      28     1025.746         1022.041         -  3.705
03      29      987.791          972.721         - 15.070
03      30     1026.422         1031.606         +  5.184
03      31     1028.055         1005.797         - 22.258
03      32     1024.826         1011.886         - 12.940
03      33     1023.446         1028.816         +  5.370
03      34     1050.000         1038.616         - 11.384
03      35      990.402          962.546         - 27.856
03      36     1028.872         1033.113         +  4.241
03      37      999.302          982.705         - 16.597
03      38     1019.516         1006.885         - 12.631
03      39     1041.926         1043.450         +  1.524
04      00      962.641          961.519         -  1.122
04      01      968.037          967.629         -  0.408
04      02     1026.439         1027.002         +  0.563
04      03      981.197          967.869         - 13.328
04      04     1019.156          999.979         - 19.177
04      05     1026.748         1011.056         - 15.692
04      06     1013.685         1014.161         +  0.476
04      07     1029.083         1020.327         -  8.756
04      08     1025.760         1029.524         +  3.764
04      09      996.456          975.420         - 21.036
04      10     1039.305         1023.902         - 15.403
04      11      992.367          975.433         - 16.934
04      12     1031.643         1019.020         - 12.623
04      13     1029.892         1039.925         + 10.033
04      14     1002.287          979.118         - 23.169
04      15     1003.674          987.708         - 15.966
04      16     1050.000         1042.257         -  7.743
04      17     1042.217         1043.560         +  1.343
04      18     1023.781         1008.987         - 14.794
04      19     1006.369          990.974         - 15.395
04      20     1034.355         1006.672         - 27.683
04      21     1020.643          999.558         - 21.085
04      22      999.619          982.722         - 16.897
04      23      998.024          994.464         -  3.560
04      24     1033.327         1024.849         -  8.478
04      25      988.490         1001.490         + 13.000
04      26     1050.000         1050.000         +  0.000
04      27      987.192          972.521         - 14.671
04      28     1022.903         1022.632         -  0.271
04      29     1050.000         1034.669         - 15.331
04      30     1050.000         1050.000         +  0.000
04      31     1023.660         1025.661         +  2.001
04      32     1050.000         1050.000         +  0.000
04      33     1037.212         1042.773         +  5.561
04      34     1028.452         1039.687         + 11.235
04      35     1032.192         1037.304         +  5.112
04      36     1002.512          992.828         -  9.684
04      37     1043.756         1015.962         - 27.794
04      38     1040.939         1048.170         +  7.231
04      39      993.406          980.393         - 13.013
05      00     1025.311         1000.152         - 25.159
05      01     1017.719         1001.626         - 16.093
05      02     1007.102          999.808         -  7.294
05      03     1009.358         1001.635         -  7.723
05      04     1013.691         1005.935         -  7.756
05      05      965.972          949.385         - 16.587
05      06      973.288          955.063         - 18.225
05      07     1027.982         1036.568         +  8.586
05      08      951.508          941.868         -  9.640
05      09      992.439          978.534         - 13.905
05      10     1050.000         1050.000         +  0.000
05      11     1032.678         1026.552         -  6.126
05      12     1006.441          990.676         - 15.765
05      13     1023.588         1029.059         +  5.471
05      14      958.864          936.869         - 21.995
05      15      991.944          964.574         - 27.370
05      16      993.490          994.865         +  1.375
05      17     1050.000         1050.000         +  0.000
05      18      996.953         1002.086         +  5.133
05      19     1026.138          914.997         -111.141
05      20      990.511          995.513         +  5.002
05      21      989.214          971.753         - 17.461
05      22     1009.799          988.326         - 21.473
05      23     1029.712         1006.091         - 23.621
05      24      985.195         1016.518         + 31.323
05      25     1023.261          999.775         - 23.486
05      26     1034.432         1037.744         +  3.312
05      27     1042.033         1046.430         +  4.397
05      28     1032.566         1040.186         +  7.620
05      29     1033.072         1049.452         + 16.380
