#row 1 Col 23 -> 37
22 0   88 0   92 4
23 0   92 0   96 4
24 0   96 0  100 4
25 0  100 0  104 4
26 0  104 0  108 4
27 0  108 0  112 4
28 0  112 0  116 4
29 0  116 0  120 4
30 0  120 0  124 4
31 0  124 0  128 4
32 0  128 0  132 4
33 0  132 0  136 4
34 0  136 0  140 4
35 0  140 0  144 4
36 0  144 0  148 4

#row 2 Col 20 -> 40
19 1   76 4   80 8
20 1   80 4   84 8
21 1   84 4   88 8
22 1   88 4   92 8
23 1   92 4   96 8
24 1   96 4  100 8
25 1  100 4  104 8
26 1  104 4  108 8
27 1  108 4  112 8
28 1  112 4  116 8
29 1  116 4  120 8
30 1  120 4  124 8
31 1  124 4  128 8
32 1  128 4  132 8
33 1  132 4  136 8
34 1  136 4  140 8
35 1  140 4  144 8
36 1  144 4  148 8
37 1  148 4  152 8
38 1  152 4  156 8
39 1  156 4  160 8

#row 3 Col 18 -> 42
17 2   68 8   72 12
18 2   72 8   76 12
19 2   76 8   80 12
20 2   80 8   84 12
21 2   84 8   88 12
22 2   88 8   92 12
23 2   92 8   96 12
24 2   96 8  100 12
25 2  100 8  104 12
26 2  104 8  108 12
27 2  108 8  112 12
28 2  112 8  116 12
29 2  116 8  120 12
30 2  120 8  124 12
31 2  124 8  128 12
32 2  128 8  132 12
33 2  132 8  136 12
34 2  136 8  140 12
35 2  140 8  144 12
36 2  144 8  148 12
37 2  148 8  152 12
38 2  152 8  156 12
39 2  156 8  160 12
40 2  160 8  164 12
41 2  164 8  168 12

#row 4 Col 16 -> 44
15 3   60 12   64 16
16 3   64 12   68 16
17 3   68 12   72 16
18 3   72 12   76 16
19 3   76 12   80 16
20 3   80 12   84 16
21 3   84 12   88 16
22 3   88 12   92 16
23 3   92 12   96 16
24 3   96 12  100 16
25 3  100 12  104 16
26 3  104 12  108 16
27 3  108 12  112 16
28 3  112 12  116 16
29 3  116 12  120 16
30 3  120 12  124 16
31 3  124 12  128 16
32 3  128 12  132 16
33 3  132 12  136 16
34 3  136 12  140 16
35 3  140 12  144 16
36 3  144 12  148 16
37 3  148 12  152 16
38 3  152 12  156 16
39 3  156 12  160 16
40 3  160 12  164 16
41 3  164 12  168 16
42 3  168 12  172 16
43 3  172 12  176 16

#row 5 Col 14 -> 46
13 4   52 16   56 20
14 4   56 16   60 20
15 4   60 16   64 20
16 4   64 16   68 20
17 4   68 16   72 20
18 4   72 16   76 20
19 4   76 16   80 20
20 4   80 16   84 20
21 4   84 16   88 20
22 4   88 16   92 20
23 4   92 16   96 20
24 4   96 16  100 20
25 4  100 16  104 20
26 4  104 16  108 20
27 4  108 16  112 20
28 4  112 16  116 20
29 4  116 16  120 20
30 4  120 16  124 20
31 4  124 16  128 20
32 4  128 16  132 20
33 4  132 16  136 20
